Functions,X,Y,Z,3D index
memory_wm,-1.24E+00,1.24E+01,1.41E+00,0.45745
mental_imagery,-2.42E+00,1.16E+01,9.59E-01,0.07935
mentalizing,-4.65E+00,1.35E+01,1.74E+00,0.41
mnemonic,-3.28E+00,1.35E+01,2.50E+00,0.03226
monetary,-6.14E+00,1.16E+01,5.04E+00,0.82771
monetary_reward,-6.07E+00,1.16E+01,4.95E+00,0.64096
money,-5.78E+00,1.18E+01,4.46E+00,0.46672
monitoring,-1.97E+00,1.21E+01,2.19E+00,0.15484
mood,-3.50E+00,1.25E+01,2.40E+00,-0.00019
moral,-4.33E+00,1.33E+01,1.68E+00,0.32937
motion,-2.64E+00,1.25E+01,-7.47E-01,0.64506
motivation,-6.08E+00,1.16E+01,4.95E+00,0.65698
motivational,-5.91E+00,1.17E+01,4.67E+00,0.58167
motor,-2.65E+00,9.56E+00,1.55E+00,0.85615
motor_control,-2.88E+00,1.04E+01,1.55E+00,0.33064
motor_imagery,-2.70E+00,9.96E+00,1.45E+00,0.63031
motor_performance,-2.87E+00,1.03E+01,1.54E+00,0.42162
motor_response,-3.15E+00,1.21E+01,1.93E+00,-0.00035
motor_responses,-3.23E+00,1.23E+01,1.55E+00,-0.0002
motor_task,-2.81E+00,1.00E+01,1.55E+00,0.57073
movement,-2.69E+00,9.59E+00,1.52E+00,0.80072
movements,-2.63E+00,9.61E+00,1.51E+00,0.8101
multisensory,2.16E+00,1.01E+01,2.37E+00,0.33663
music,2.60E+00,1.00E+01,2.41E+00,0.68613
musical,2.48E+00,1.01E+01,2.30E+00,0.63082
names,-2.98E+00,1.37E+01,1.90E+00,-0.00025
naming,-2.26E+00,1.39E+01,1.11E+00,0.2044
navigation,-3.32E+00,1.47E+01,2.93E+00,0.2644
negative_emotional,-2.74E+00,1.24E+01,4.02E+00,0.19132
neutral_faces,-1.91E+00,1.19E+01,6.15E+00,0.70888
neutral_pictures,-1.98E+00,1.19E+01,6.06E+00,0.46719
neutral_stimuli,-2.52E+00,1.21E+01,4.80E+00,0.3173
nociceptive,-3.31E+00,1.11E+01,3.05E+00,0.35763
nogo,-2.56E+00,1.22E+01,2.60E+00,0.10754
nouns,-1.61E+00,1.41E+01,1.48E+00,0.29621
novel,-3.32E+00,1.37E+01,2.70E+00,0.06588
novelty,-3.01E+00,1.28E+01,3.29E+00,-0.00039
noxious,-3.24E+00,1.10E+01,3.15E+00,0.42816
object,-2.56E+00,1.30E+01,-5.03E-01,0.48877
object_recognition,-2.57E+00,1.33E+01,3.22E-02,0.31379
objects,-2.49E+00,1.31E+01,-4.53E-01,0.45544
oddball,-3.35E+00,1.15E+01,2.37E+00,0.00468
oral,-3.34E+00,1.20E+01,2.02E+00,-0.00032
orientation,-3.23E+00,1.21E+01,1.07E+00,0.00364
oriented,-3.26E+00,1.25E+01,1.60E+00,-0.0002
orienting,-2.05E+00,1.15E+01,8.15E-01,0.26054
orthographic,-1.60E+00,1.45E+01,8.28E-01,0.53189
pain,-3.22E+00,1.09E+01,3.14E+00,0.59278
painful,-3.23E+00,1.09E+01,3.12E+00,0.55388
passive_viewing,-2.78E+00,1.23E+01,4.00E+00,0.13725
personal,-4.18E+00,1.37E+01,1.90E+00,0.1457
personality,-3.97E+00,1.26E+01,2.39E+00,-0.00029
personality_traits,-3.92E+00,1.27E+01,2.32E+00,-0.00029
phonological,-1.13E+00,1.47E+01,9.25E-01,0.56518
photographs,-2.99E+00,1.30E+01,2.45E+00,-0.00025
picture,-2.81E+00,1.23E+01,3.91E+00,0.09298
pictures,-1.74E+00,1.20E+01,6.26E+00,0.57906
pitch,2.91E+00,9.79E+00,2.36E+00,0.76562
place,-3.16E+00,1.41E+01,2.20E+00,0.06437
placebo,-3.32E+00,1.24E+01,2.54E+00,-0.00022
placebo_controlled,-3.11E+00,1.25E+01,2.29E+00,-0.00021
planning,-2.45E+00,1.10E+01,1.06E+00,0.29959
pleasant,-2.54E+00,1.22E+01,4.63E+00,0.33229
pointing,-3.12E+00,1.19E+01,1.19E+00,0.00308
prediction,-5.35E+00,1.20E+01,4.01E+00,0.48664
prediction_error,-5.49E+00,1.19E+01,4.16E+00,0.48242
predictions,-3.11E+00,1.22E+01,1.89E+00,-0.00024
predictive,-4.46E+00,1.24E+01,3.05E+00,0.00313
preference,-3.12E+00,1.25E+01,1.31E+00,-0.0002
preferences,-5.32E+00,1.19E+01,3.98E+00,0.30515
preparation,-2.67E+00,1.08E+01,1.30E+00,0.31784
preparatory,-2.04E+00,1.16E+01,8.19E-01,0.20843
primary_auditory,2.93E+00,9.83E+00,2.40E+00,0.75743
primary_motor,-2.79E+00,9.78E+00,1.57E+00,0.74063
primary_sensorimotor,-2.90E+00,1.01E+01,1.65E+00,0.51603
primary_somatosensory,-3.07E+00,1.07E+01,2.93E+00,0.49824
primary_visual,-2.90E+00,1.24E+01,-6.45E-02,0.1515
prime,-3.40E+00,1.27E+01,1.93E+00,-0.00015
priming,-2.66E+00,1.37E+01,1.19E+00,0.2246
probabilistic,-3.69E+00,1.22E+01,3.04E+00,-0.0002
probability,-3.90E+00,1.21E+01,3.03E+00,-0.00015
prospective,-3.48E+00,1.26E+01,2.04E+00,-0.00032
pseudowords,-2.03E+00,1.42E+01,9.25E-01,0.23982
punishment,-5.82E+00,1.17E+01,4.52E+00,0.51912
reaching,-2.87E+00,1.14E+01,1.07E+00,0.22808
reactivity,-1.98E+00,1.19E+01,5.77E+00,0.57111
read,-1.91E+00,1.43E+01,1.39E+00,0.25783
reading,-1.18E+00,1.47E+01,9.10E-01,0.6637
reappraisal,-2.81E+00,1.32E+01,1.92E+00,-0.00066
reasoning,-2.87E+00,1.30E+01,1.81E+00,-0.00027
recall,-3.48E+00,1.44E+01,3.01E+00,0.3
recognition,-2.51E+00,1.35E+01,-5.00E-02,0.31284
recognition_memory,-3.43E+00,1.43E+01,2.93E+00,0.22929
recognition_task,-2.89E+00,1.23E+01,2.01E+00,-0.00029
recognize,-2.61E+00,1.34E+01,2.48E-02,0.07461
recognized,-3.08E+00,1.30E+01,2.38E+00,0.00345
recognizing,-2.71E+00,1.33E+01,5.81E-01,0.01513
recollection,-3.58E+00,1.48E+01,2.98E+00,0.41848
rehearsal,-1.99E+00,1.31E+01,1.40E+00,0.02526
reinforcement,-5.79E+00,1.18E+01,4.48E+00,0.50686
relational,-2.93E+00,1.30E+01,1.65E+00,-0.00025
relevance,-3.91E+00,1.23E+01,2.76E+00,0.00956
remember,-3.17E+00,1.35E+01,2.36E+00,0.01503
remembered,-3.43E+00,1.42E+01,2.95E+00,0.18321
remembering,-3.55E+00,1.47E+01,2.95E+00,0.36108
repetition,-2.47E+00,1.39E+01,9.26E-01,0.24159
repetition_suppression,-2.55E+00,1.38E+01,1.01E+00,0.20072
response_inhibition,-2.32E+00,1.21E+01,2.75E+00,0.30462
response_selection,-2.17E+00,1.19E+01,2.05E+00,0.08405
retention,-3.37E+00,1.39E+01,2.82E+00,0.04689
retrieval,-3.50E+00,1.50E+01,3.10E+00,0.56129
retrieved,-3.58E+00,1.48E+01,2.99E+00,0.36695
reward,-6.07E+00,1.16E+01,4.95E+00,0.82401
reward_anticipation,-6.08E+00,1.16E+01,4.97E+00,0.64895
rewarding,-5.81E+00,1.18E+01,4.52E+00,0.52519
rewards,-6.06E+00,1.16E+01,4.93E+00,0.75721
rhythm,-3.18E+00,1.11E+01,1.77E+00,0.14323
risk,-5.11E+00,1.20E+01,3.79E+00,0.2903
risky,-5.60E+00,1.18E+01,4.23E+00,0.32584
rotation,-2.28E+00,1.16E+01,5.79E-01,0.28209
rule,-1.86E+00,1.22E+01,1.44E+00,0.09464
rules,-1.73E+00,1.26E+01,1.64E+00,0.06718
saccade,-1.75E+00,1.12E+01,3.71E-01,0.54951
saccades,-1.81E+00,1.13E+01,4.58E-01,0.5445
sad,-2.32E+00,1.21E+01,5.09E+00,0.37584
salience,-2.94E+00,1.25E+01,3.44E+00,-0.00033
salient,-2.44E+00,1.22E+01,4.74E+00,0.31551
secondary_somatosensory,-3.10E+00,1.08E+01,3.05E+00,0.56664
selection,-2.20E+00,1.19E+01,1.70E+00,0.09432
selective,-2.59E+00,1.33E+01,-9.53E-02,0.28119
selective_attention,-2.07E+00,1.19E+01,9.16E-01,0.18706
self_referential,-4.36E+00,1.37E+01,1.87E+00,0.25456
self_reported,-5.24E+00,1.20E+01,3.91E+00,0.21288
semantic,-9.55E-01,1.48E+01,1.07E+00,0.69752
semantic_memory,-3.48E+00,1.49E+01,3.07E+00,0.36529
semantics,-1.74E+00,1.39E+01,1.35E+00,0.22364
sensation,-3.43E+00,1.15E+01,2.96E+00,0.2218
sensations,-3.45E+00,1.15E+01,2.95E+00,0.15403
sensorimotor,-2.68E+00,9.64E+00,1.54E+00,0.72592
sensory,2.05E+00,1.02E+01,2.42E+00,0.3215
sensory_information,-3.61E+00,1.19E+01,1.57E+00,-0.0002
sensory_motor,-3.30E+00,1.11E+01,1.89E+00,0.23581
sentence,-9.07E-01,1.48E+01,1.23E+00,0.57164
sentence_comprehension,-1.37E+00,1.44E+01,1.34E+00,0.37563
sentences,-8.78E-01,1.48E+01,1.17E+00,0.53608
sequence,-2.75E+00,1.07E+01,1.36E+00,0.30367
sequences,-2.71E+00,1.16E+01,1.45E+00,0.08388
sequential,-2.78E+00,1.07E+01,1.41E+00,0.33069
serial,-2.89E+00,1.24E+01,1.39E+00,0.00622
sex,-3.44E+00,1.19E+01,1.81E+00,0.00491
sexual,-2.68E+00,1.22E+01,4.42E+00,0.15236
shapes,-2.81E+00,1.27E+01,3.95E-01,0.0584
shifting,-1.60E+00,1.22E+01,1.32E+00,0.09707
shifts,-2.28E+00,1.15E+01,7.44E-01,0.22383
short_term,-2.64E+00,1.25E+01,1.86E+00,-0.00022
signal_task,-2.37E+00,1.21E+01,2.72E+00,0.27213
similarity,-2.06E+00,1.36E+01,1.28E+00,0.13134
size,-3.34E+00,1.24E+01,1.54E+00,-0.00013
skin,-2.70E+00,1.20E+01,4.16E+00,0.17914
sleep,-3.38E+00,1.26E+01,1.94E+00,-0.00029
social,-4.62E+00,1.34E+01,1.72E+00,0.35727
social_cognition,-4.47E+00,1.32E+01,1.77E+00,0.19993
social_cognitive,-4.37E+00,1.32E+01,1.75E+00,0.2273
social_interaction,-4.32E+00,1.29E+01,1.89E+00,0.12508
social_interactions,-4.44E+00,1.26E+01,2.78E+00,0.01331
solving,-2.93E+00,1.28E+01,1.82E+00,-0.00023
somatosensory,-3.02E+00,1.07E+01,3.04E+00,0.66999
sound,2.96E+00,9.82E+00,2.42E+00,0.81619
sounds,2.98E+00,9.84E+00,2.45E+00,0.88857
space,-2.91E+00,1.17E+01,1.13E+00,0.0877
spatial,-1.89E+00,1.14E+01,5.97E-01,0.56707
spatial_attention,-1.88E+00,1.14E+01,5.41E-01,0.47369
spatial_information,-2.42E+00,1.18E+01,1.05E+00,0.1999
spatial_temporal,-3.64E+00,1.31E+01,1.93E+00,-0.00032
spatiotemporal,-3.52E+00,1.23E+01,1.82E+00,-0.0003
speaking,2.04E+00,1.02E+01,2.43E+00,0.39694
speech,3.04E+00,9.86E+00,2.49E+00,0.8511
speech_perception,2.58E+00,1.00E+01,2.43E+00,0.69362
speech_production,2.46E+00,9.96E+00,2.47E+00,0.46942
spoken,2.66E+00,9.99E+00,2.46E+00,0.65506
spontaneous,-3.99E+00,1.30E+01,1.56E+00,0.0249
stop_signal,-2.36E+00,1.21E+01,2.76E+00,0.30136
storage,-2.35E+00,1.26E+01,1.43E+00,0.00208
strategic,-2.90E+00,1.31E+01,2.09E+00,-0.00024
strategies,-3.34E+00,1.28E+01,1.93E+00,-0.00021
strategy,-2.75E+00,1.29E+01,2.07E+00,-0.00024
stress,-2.97E+00,1.24E+01,3.68E+00,-0.00042
stroop,-1.92E+00,1.23E+01,2.06E+00,0.11499
stroop_task,-2.62E+00,1.25E+01,2.26E+00,0.00699
subtraction,-1.50E+00,1.20E+01,1.08E+00,0.23116
success,-3.06E+00,1.34E+01,2.55E+00,0.00983
suffering,-3.50E+00,1.19E+01,2.99E+00,0.02164
suppression,-3.09E+00,1.26E+01,1.47E+00,-0.00016
sustained,-3.21E+00,1.22E+01,2.28E+00,0.00744
switch,-2.55E+00,1.23E+01,1.45E+00,-0.0003
switching,-1.86E+00,1.24E+01,1.31E+00,0.04951
syntactic,-1.12E+00,1.47E+01,1.22E+00,0.52186
tactile,-3.14E+00,1.08E+01,3.00E+00,0.43966
tapping,-2.77E+00,1.00E+01,1.51E+00,0.58005
target,-1.94E+00,1.14E+01,6.78E-01,0.40233
target_detection,-3.25E+00,1.26E+01,1.97E+00,-0.00026
taste,-3.39E+00,1.19E+01,3.28E+00,0.09653
theory_mind,-4.54E+00,1.36E+01,1.74E+00,0.53593
thinking,-4.28E+00,1.37E+01,1.82E+00,0.24104
thought,-3.51E+00,1.31E+01,2.13E+00,-0.00022
thoughts,-4.14E+00,1.35E+01,1.80E+00,0.18903
threatening,-2.30E+00,1.22E+01,4.95E+00,0.47675
time_task,-3.19E+00,1.20E+01,1.91E+00,-0.00022
timing,-3.07E+00,1.20E+01,1.76E+00,-0.0003
tom,-4.61E+00,1.36E+01,1.76E+00,0.4499
tone,2.28E+00,1.01E+01,2.35E+00,0.54669
tools,-3.40E+00,1.19E+01,1.26E+00,-0.00023
touch,-3.14E+00,1.08E+01,3.00E+00,0.3908
unfamiliar,-2.50E+00,1.37E+01,2.89E-01,0.31122
unpleasant,-2.57E+00,1.21E+01,4.67E+00,0.38544
valence,-1.93E+00,1.19E+01,5.91E+00,0.57006
value,-5.84E+00,1.17E+01,4.48E+00,0.55943
values,-5.00E+00,1.21E+01,3.67E+00,0.24745
verb,-1.30E+00,1.45E+01,1.28E+00,0.5397
verbal,-1.35E+00,1.28E+01,1.42E+00,0.27149
verbal_fluency,-1.77E+00,1.35E+01,1.44E+00,0.15794
verbal_working,-2.11E+00,1.29E+01,1.53E+00,0.00367
verbs,-1.24E+00,1.46E+01,1.30E+00,0.44868
video,-2.65E+00,1.24E+01,-6.94E-01,0.33199
video_clips,-2.69E+00,1.24E+01,-6.72E-01,0.31591
videos,-2.68E+00,1.24E+01,-7.07E-01,0.29746
viewing,-2.69E+00,1.27E+01,-5.52E-01,0.35277
violations,-3.46E+00,1.26E+01,1.68E+00,-0.00019
virtual,-3.27E+00,1.45E+01,2.79E+00,0.20137
vision,-2.65E+00,1.24E+01,-7.53E-01,0.41499
visual,-2.57E+00,1.28E+01,-6.49E-01,0.52448
visual_attention,-2.36E+00,1.18E+01,6.43E-01,0.15171
visual_auditory,2.15E+00,1.02E+01,2.38E+00,0.4397
visual_field,-2.93E+00,1.24E+01,-7.51E-02,0.23034
visual_information,-3.02E+00,1.21E+01,6.64E-01,0.04525
visual_motion,-2.64E+00,1.24E+01,-7.69E-01,0.49111
visual_perception,-2.75E+00,1.26E+01,-4.39E-01,0.34321
visual_stimuli,-2.85E+00,1.28E+01,3.77E-01,0.0372
visual_stimulus,-3.28E+00,1.24E+01,1.80E+00,-0.00027
visual_word,-1.83E+00,1.43E+01,7.61E-01,0.57593
visuo,-2.38E+00,1.17E+01,3.20E-01,0.30933
visuomotor,-2.72E+00,1.10E+01,1.08E+00,0.3914
visuospatial,-1.92E+00,1.15E+01,5.78E-01,0.43298
vocal,2.55E+00,9.97E+00,2.52E+00,0.59993
voice,2.52E+00,1.00E+01,2.48E+00,0.64511
wm,-1.38E+00,1.23E+01,1.50E+00,0.37235
wm_task,-1.62E+00,1.22E+01,1.41E+00,0.19773
word,-1.12E+00,1.47E+01,9.57E-01,0.79399
word_form,-1.90E+00,1.43E+01,7.88E-01,0.55762
word_pairs,-3.27E+00,1.33E+01,2.30E+00,-0.00028
word_recognition,-2.13E+00,1.42E+01,9.25E-01,0.30991
words,-1.08E+00,1.48E+01,9.84E-01,0.75166
working_memory,-1.17E+00,1.23E+01,1.33E+00,0.49715
written,-1.88E+00,1.43E+01,8.62E-01,0.46378